Tn5045,Tn5045,Tn3
Tn5044,Tn5044,Tn3
Tn5041,Tn5041,Tn3
Tn5037,Tn5037,Tn3
Tn5036,Tn5036,Tn3
Tn502,Tn502,Tn402
Tn501,Tn501,Tn3
Tn4662a,Tn4662a,Tn3
Tn4661,Tn4661,Tn3
Tn4659,,
Tn4656,Tn4656,Tn3
Tn4652,Tn4652,Tn3
Tn4430,Tn4430,Tn3
Tn4401d,Tn4401d,Tn3
Tn4401b,Tn4401b,Tn3
Tn4401a,Tn4401a,Tn3
Tn4380,Tn4380,Tn3
Tn4378,Tn4378,Tn3
Tn402,Tn402,Tn402
Tn4001,Tn4001,Compound Transposon
Tn4,Tn4,Tn3
Tn3434,Tn3434,Tn3
Tn3000,,Tn3
Tn3,Tn3,Tn3
Tn2921,Tn2921,compound
Tn2815,Tn2815,Tn3
Tn2670,Tn2670,Compound transposon
Tn2424,Tn2424,Tn3
Tn2411,Tn2411,Tn3
Tn21,Tn21,Tn3
Tn2006,Tn2006,Compound transposon
Tn2000,Tn2000,Composite tranposon
Tn20,Tn20,Tn3
Tn2,Tn2,Tn3
Tn1Mer,Tn1Mer,Tn3
Tn1935,Tn1935,Tn3
Tn1721,Tn1721,Tn3
Tn1696,Tn1696,Tn3
Tn163,,Tn3
Tn1546,Tn1546,Tn3
Tn1412,Tn1412,Tn3
Tn1332,Tn1332,Tn3
Tn1331,Tn1331,Tn3
Tn125,Tn125,Compound Transposon
Tn1000,Tn1000,Tn3
Tn10_p3,Tn10_p3,Tn10
Tn10_p2,Tn10_p2,Tn10
Tn10_p,Tn10_p,Compound Transposon
Tn10,Tn10,compound
Tn1,Tn1,Tn3
ISXac5,ISXac5,
ISXac1,,IS4
ISVsa3,,IS91
ISVsa19,ISVsa19,Tn3
ISThsp2,,IS21
ISSau9,,IS21
ISPpu33,,IS3
ISPpu17,ISPpu17,IS30
ISPps1,ISPps1,IS91
ISPa96,,IS5
ISPa41,,IS4
ISPa14_TnpFLA424_ISPa,ISPa14_TnpFLA424_ISPa,
ISPa12_ISPpu17,ISPa12_ISPpu17,
ISKpn7,,IS21
ISKpn6,ISKpn6,IS1182
ISKpn27,,IS481
ISGNB1,ISGNB1,
ISEnfa5,ISEnfa5,IS3
ISEcp1,ISEcp1,IS1380
ISEc69,,IS1595
ISEc63,,Tn3
ISEc37,,IS91
ISEc13,ISEc13,IS4
ISCsp4,ISCsp4,IS21
ISCR21,,ISCR
ISCfr1,,IS1182
ISBusp1,,Tn3
ISAzs14,ISAzs14,IS630
ISApu2,ISApu2,IS4
ISApu1,,IS4
ISApl1,ISApl1,IS30
ISAba33,,IS4
ISAba2,ISAba2,IS3
ISAba125,,IS30
ISAba12,,IS5
ISAba1,ISAba1,IS4
IS91,,IS91
IS882,IS882,Tn3
IS6100,,IS6
IS51,,IS3
IS5075,IS5075,IS110
IS5,IS5,IS5
IS30,IS30,IS30
IS2,,IS3
IS150,,IS3
IS1404A,,IS3
IS1403,,IS3
IS1326_IS1353_ISEc37,IS1326_IS1353_ISEc37,
IS1326_IS1353,IS1326_IS1353,
IS1326,IS1326,IS21
IS1251,,ISL3
IS1133_Tn10_IS903B,IS1133_Tn10_IS903B,
IS1133_p,IS1133_p,IS3
IS1133,IS1133,IS3
InS21,InS21,Tn402
In992,In992,Tn402
In893,,Tn402
In73,In73,Tn402
In7,In7,Tn402
In60,,Tn402
In6_p,In6_p,Tn402
In58,,Tn402
In53,In53,Tn402
In450,In450,Tn402
In4,,Tn402
In39,In39,Tn402
In38,,Tn402
In37,In37,Tn402
In36,In36,Tn402
In34,In34,Tn402
In33,In33,Tn402
In32,In32,Tn402
In31,In31,Tn402
In28,In28,Tn402
In22,,Tn402
In21,In21,Tn402
In2,In2,Tn402
In1223,In1223,Tn402
In1187,,Tn402
In1,In1,Tn402
In0,In0,Tn402
